hoi,State/UT,Total Number of Invoices/Sales
1,Jammu Kashmir,1036
2,Himachal Pradesh,446
3,Punjab,2977
4,Chandigarh,154
5,Uttarakhand,2288
6,Haryana,4667
7,Delhi,12850
8,Rajasthan,14326
9,Uttar Pradesh,11853
10,Bihar,5255
11,Sikkim,1
12,Arunachal Pradesh,1
14,Manipur,140
16,Tripura,750
17,Meghalaya,10
18,Assam,827
19,West Bengal,1347
20,Jharkhand,1874
21,Odisha,4454
22,Chhattisgarh,3573
23,Madhya Pradesh,6306
24,Gujarat,5839
27,Maharashtra,20955
28,Andhra Pradesh,6393
29,Karnataka,33483
30,Goa,614
31,Lakshadweep,4
32,Kerala,4851
33,Tamil Nadu,24632
34,Puducherry,259
35,Andaman and Nicobar Islands,3
36,Telangana,6316
37,Ladakh,6
38,Dadra and Nagar Haveli and Daman and Diu,31
Total,Total,178521
