Category: All categories

Region,electric scooter: (1/1/04 - 3/12/23)
Daman and Diu,100
Kerala,97
Odisha,90
Goa,89
Dadra and Nagar Haveli,79
Chhattisgarh,75
Haryana,69
Gujarat,67
Jharkhand,66
Uttarakhand,64
Karnataka,63
Rajasthan,61
Telangana,61
Andhra Pradesh,59
Punjab,53
Puducherry,46
Tamil Nadu,46
Madhya Pradesh,44
Maharashtra,43
Uttar Pradesh,42
Jammu and Kashmir,39
West Bengal,32
Bihar,31
Tripura,31
Delhi,29
Himachal Pradesh,27
Manipur,26
Assam,26
Mizoram,26
Arunachal Pradesh,23
Andaman and Nicobar Islands,22
Meghalaya,18
Sikkim,16
Chandigarh,15
Nagaland,13
Lakshadweep,
