Rating,Model Name,Type
1.0,TVS iQube,2-wheeler
1.0,TVS iQube,2-wheeler
3.0,TVS iQube,2-wheeler
1.0,TVS iQube,2-wheeler
1.0,TVS iQube,2-wheeler
1.0,TVS iQube,2-wheeler
3.0,TVS iQube,2-wheeler
1.0,TVS iQube,2-wheeler
3.0,TVS iQube,2-wheeler
2.0,TVS iQube,2-wheeler
5.0,TVS iQube,2-wheeler
5.0,TVS iQube,2-wheeler
5.0,TVS iQube,2-wheeler
5.0,TVS iQube,2-wheeler
2.0,TVS iQube,2-wheeler
4.0,TVS iQube,2-wheeler
1.0,TVS iQube,2-wheeler
1.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
1.0,Revolt RV 400,2-wheeler
3.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
1.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
1.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
2.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
1.0,Revolt RV 400,2-wheeler
1.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
3.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
2.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
4.0,Revolt RV 400,2-wheeler
3.0,Revolt RV 400,2-wheeler
1.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
1.0,Revolt RV 400,2-wheeler
5.0,Revolt RV 400,2-wheeler
2.0,Revolt RV 400,2-wheeler
5.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
4.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
1.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
1.0,Bajaj Chetak,2-wheeler
1.0,Bajaj Chetak,2-wheeler
5.0,Bajaj Chetak,2-wheeler
5.0,OLA S1 Pro,2-wheeler
1.0,OLA S1 Pro,2-wheeler
4.0,OLA S1 Pro,2-wheeler
1.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
3.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
1.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
4.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
4.0,OLA S1 Pro,2-wheeler
4.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
1.0,OLA S1 Pro,2-wheeler
4.0,OLA S1 Pro,2-wheeler
3.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
4.0,OLA S1 Pro,2-wheeler
1.0,OLA S1 Pro,2-wheeler
1.0,OLA S1 Pro,2-wheeler
5.0,OLA S1 Pro,2-wheeler
4.0,OLA S1 Pro,2-wheeler
2.0,OLA S1 Pro,2-wheeler
1.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
1.0,Ather 450X,2-wheeler
4.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
2.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
1.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
4.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
1.0,Ather 450X,2-wheeler
1.0,Ather 450X,2-wheeler
1.0,Ather 450X,2-wheeler
1.0,Ather 450X,2-wheeler
1.0,Ather 450X,2-wheeler
2.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
5.0,Ather 450X,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
2.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
2.0,Hero Electric Optima,2-wheeler
2.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
2.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
4.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
5.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
1.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
2.0,Hero Electric Optima,2-wheeler
3.0,Hero Electric Optima,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
3.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
3.0,Tork Kratos,2-wheeler
1.0,Tork Kratos,2-wheeler
1.0,Tork Kratos,2-wheeler
1.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
4.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,Tork Kratos,2-wheeler
5.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
4.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
2.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
4.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
4.0,OLA S1,2-wheeler
4.0,OLA S1,2-wheeler
2.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
4.0,OLA S1,2-wheeler
4.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
5.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
1.0,OLA S1,2-wheeler
5.0,Bounce Infinity E1,2-wheeler
5.0,Bounce Infinity E1,2-wheeler
5.0,Bounce Infinity E1,2-wheeler
4.0,Bounce Infinity E1,2-wheeler
5.0,Bounce Infinity E1,2-wheeler
1.0,Bounce Infinity E1,2-wheeler
5.0,Bounce Infinity E1,2-wheeler
1.0,Bounce Infinity E1,2-wheeler
1.0,Bounce Infinity E1,2-wheeler
1.0,Bounce Infinity E1,2-wheeler
1.0,Bounce Infinity E1,2-wheeler
1.0,Bounce Infinity E1,2-wheeler
1.0,Hero Electric Optima CX,2-wheeler
5.0,Hero Electric Optima CX,2-wheeler
4.0,Hero Electric Optima CX,2-wheeler
5.0,Hero Electric Optima CX,2-wheeler
3.0,Hero Electric Optima CX,2-wheeler
5.0,Hero Electric Optima CX,2-wheeler
2.0,Hero Electric Optima CX,2-wheeler
3.0,Hero Electric Optima CX,2-wheeler
4.0,Hero Electric Optima CX,2-wheeler
5.0,Hero Electric Flash,2-wheeler
3.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
4.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
3.0,Hero Electric Flash,2-wheeler
4.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
4.0,Hero Electric Flash,2-wheeler
4.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
2.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
4.0,Hero Electric Flash,2-wheeler
5.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
4.0,Hero Electric Flash,2-wheeler
4.0,Hero Electric Flash,2-wheeler
1.0,Hero Electric Flash,2-wheeler
