,Rating,Model Name,Type,Category of e-Vehicle
0,1.0,TVS iQube,2-wheeler,e-2W
1,3.0,TVS iQube,2-wheeler,e-2W
2,2.0,TVS iQube,2-wheeler,e-2W
3,5.0,TVS iQube,2-wheeler,e-2W
4,4.0,TVS iQube,2-wheeler,e-2W
5,1.0,Revolt RV 400,2-wheeler,e-2W
6,5.0,Revolt RV 400,2-wheeler,e-2W
7,3.0,Revolt RV 400,2-wheeler,e-2W
8,4.0,Revolt RV 400,2-wheeler,e-2W
9,2.0,Revolt RV 400,2-wheeler,e-2W
10,5.0,Bajaj Chetak,2-wheeler,e-2W
11,4.0,Bajaj Chetak,2-wheeler,e-2W
12,1.0,Bajaj Chetak,2-wheeler,e-2W
13,5.0,OLA S1 Pro,2-wheeler,e-2W
14,1.0,OLA S1 Pro,2-wheeler,e-2W
15,4.0,OLA S1 Pro,2-wheeler,e-2W
16,3.0,OLA S1 Pro,2-wheeler,e-2W
17,2.0,OLA S1 Pro,2-wheeler,e-2W
18,1.0,Ather 450X,2-wheeler,e-2W
19,5.0,Ather 450X,2-wheeler,e-2W
20,4.0,Ather 450X,2-wheeler,e-2W
21,2.0,Ather 450X,2-wheeler,e-2W
22,1.0,Hero Electric Optima,2-wheeler,e-2W
23,3.0,Hero Electric Optima,2-wheeler,e-2W
24,5.0,Hero Electric Optima,2-wheeler,e-2W
25,4.0,Hero Electric Optima,2-wheeler,e-2W
26,2.0,Hero Electric Optima,2-wheeler,e-2W
27,4.0,Tork Kratos,2-wheeler,
28,5.0,Tork Kratos,2-wheeler,
29,3.0,Tork Kratos,2-wheeler,
30,1.0,Tork Kratos,2-wheeler,
31,5.0,OLA S1,2-wheeler,e-2W
32,1.0,OLA S1,2-wheeler,e-2W
33,4.0,OLA S1,2-wheeler,e-2W
34,2.0,OLA S1,2-wheeler,e-2W
35,5.0,Bounce Infinity E1,2-wheeler,
36,4.0,Bounce Infinity E1,2-wheeler,
37,1.0,Bounce Infinity E1,2-wheeler,
38,1.0,Hero Electric Optima CX,2-wheeler,e-2W
39,5.0,Hero Electric Optima CX,2-wheeler,e-2W
40,4.0,Hero Electric Optima CX,2-wheeler,e-2W
41,3.0,Hero Electric Optima CX,2-wheeler,e-2W
42,2.0,Hero Electric Optima CX,2-wheeler,e-2W
43,5.0,Hero Electric Flash,2-wheeler,e-2W
44,3.0,Hero Electric Flash,2-wheeler,e-2W
45,1.0,Hero Electric Flash,2-wheeler,e-2W
46,4.0,Hero Electric Flash,2-wheeler,e-2W
47,2.0,Hero Electric Flash,2-wheeler,e-2W
48,5.0,Ampere Magnus EX,2-wheeler,e-2W
49,4.0,Ampere Magnus EX,2-wheeler,e-2W
50,1.0,Ampere Magnus EX,2-wheeler,e-2W
51,3.0,Ampere Magnus EX,2-wheeler,e-2W
52,5.0,Revolt RV 300,2-wheeler,e-2W
53,1.0,Revolt RV 300,2-wheeler,e-2W
54,4.0,Hero Electric Photon,2-wheeler,e-2W
55,5.0,Hero Electric Photon,2-wheeler,e-2W
56,3.0,Hero Electric Photon,2-wheeler,e-2W
57,1.0,Hero Electric Photon,2-wheeler,e-2W
58,2.0,Hero Electric Photon,2-wheeler,e-2W
59,1.0,Okinawa Praise,2-wheeler,e-2W
60,3.0,Okinawa Praise,2-wheeler,e-2W
61,5.0,Okinawa Praise,2-wheeler,e-2W
62,2.0,Okinawa Praise,2-wheeler,e-2W
63,4.0,Okinawa Praise,2-wheeler,e-2W
64,1.0,Benling Aura,2-wheeler,e-2W
65,5.0,Benling Aura,2-wheeler,e-2W
66,3.0,Benling Aura,2-wheeler,e-2W
67,2.0,Benling Aura,2-wheeler,e-2W
68,3.0,Ampere Magnus Pro,2-wheeler,e-2W
69,1.0,Ampere Magnus Pro,2-wheeler,e-2W
70,5.0,Ampere Magnus Pro,2-wheeler,e-2W
71,4.0,Ampere Magnus Pro,2-wheeler,e-2W
72,1.0,PURE EV EPluto 7G,2-wheeler,
73,2.0,PURE EV EPluto 7G,2-wheeler,
74,4.0,PURE EV EPluto 7G,2-wheeler,
75,5.0,PURE EV EPluto 7G,2-wheeler,
76,3.0,PURE EV EPluto 7G,2-wheeler,
77,1.0,Ampere REO,2-wheeler,e-2W
78,5.0,Ampere REO,2-wheeler,e-2W
79,4.0,Ampere REO,2-wheeler,e-2W
80,2.0,Ampere REO,2-wheeler,e-2W
81,3.0,Ampere REO,2-wheeler,e-2W
82,5.0,Odysse Evoqis,2-wheeler,
83,5.0,Hero Electric NYX HX,2-wheeler,e-2W
84,4.0,Okinawa i-Praise,2-wheeler,e-2W
85,3.0,Okinawa i-Praise,2-wheeler,e-2W
86,1.0,Okinawa i-Praise,2-wheeler,e-2W
87,5.0,Okinawa i-Praise,2-wheeler,e-2W
88,5.0,Joy e-bike Monster,2-wheeler,
89,1.0,Joy e-bike Monster,2-wheeler,
90,3.0,PURE EV ETrance Neo,2-wheeler,
91,1.0,PURE EV ETrance Neo,2-wheeler,
92,4.0,PURE EV ETrance Neo,2-wheeler,
93,5.0,PURE EV ETrance Neo,2-wheeler,
94,5.0,Evolet Polo,2-wheeler,
95,5.0,Okinawa Ridge Plus,2-wheeler,e-2W
96,2.0,Okinawa Ridge Plus,2-wheeler,e-2W
97,4.0,Okinawa Ridge Plus,2-wheeler,e-2W
98,1.0,Okinawa Ridge Plus,2-wheeler,e-2W
99,3.0,Okinawa Ridge Plus,2-wheeler,e-2W
100,4.0,Ampere Zeal,2-wheeler,e-2W
101,5.0,Ampere Zeal,2-wheeler,e-2W
102,2.0,Ampere Zeal,2-wheeler,e-2W
103,1.0,Ampere Zeal,2-wheeler,e-2W
104,3.0,Ampere Zeal,2-wheeler,e-2W
105,4.0,Hero Electric Atria,2-wheeler,e-2W
106,5.0,Hero Electric Atria,2-wheeler,e-2W
107,5.0,Okinawa Lite,2-wheeler,e-2W
108,3.0,Okinawa Lite,2-wheeler,e-2W
109,4.0,Okinawa Lite,2-wheeler,e-2W
110,2.0,Okinawa Lite,2-wheeler,e-2W
111,1.0,Okinawa Lite,2-wheeler,e-2W
112,4.0,Hero Electric NYX,2-wheeler,e-2W
113,1.0,Hero Electric NYX,2-wheeler,e-2W
114,3.0,Hero Electric NYX,2-wheeler,e-2W
115,5.0,Hero Electric NYX,2-wheeler,e-2W
116,4.0,Okinawa R30,2-wheeler,e-2W
117,5.0,Okinawa R30,2-wheeler,e-2W
118,2.0,Okinawa R30,2-wheeler,e-2W
119,1.0,Okinawa R30,2-wheeler,e-2W
120,5.0,Yo Drift,2-wheeler,
121,1.0,Yo Drift,2-wheeler,
122,4.0,Yo Drift,2-wheeler,
123,3.0,Yo Drift,2-wheeler,
124,4.0,BGauss B8,2-wheeler,
125,1.0,BGauss B8,2-wheeler,
126,2.0,BGauss B8,2-wheeler,
127,5.0,BGauss B8,2-wheeler,
128,1.0,Joy e-bike Wolf,2-wheeler,
129,5.0,Joy e-bike Wolf,2-wheeler,
130,5.0,Gemopai Astrid Lite,2-wheeler,
131,5.0,Techo Electra Emerge,2-wheeler,
132,1.0,Techo Electra Emerge,2-wheeler,
133,4.0,Techo Electra Emerge,2-wheeler,
134,5.0,Techo Electra Raptor,2-wheeler,
135,1.0,Techo Electra Raptor,2-wheeler,
