Sl. No,State,Two Wheelers,Three Wheelers,Passenger Cars,Buses,Total in state,No. of EV Chargers Sanctioned,No of RO's where EV Charging Facility available,Total Electric Vehicle,Total Non-Electric Vehicle,Total EV supported by state for adoption and manufacturing
1,Meghalaya,0,0,6,0,6,40.0,3.0,49,"4,59,001",10.0
2,Nagaland,23,0,1,0,24,,2.0,58,"3,39,129",
3,Manipur,35,5,12,0,52,,1.0,586,"4,99,324",140.0
4,Tripura,73,0,8,0,81,,3.0,9262,"6,50,026",750.0
6,Himachal Pradesh,0,0,98,0,98,10.0,13.0,1175,"19,64,754",446.0
8,Goa,0,0,513,1,514,,17.0,3870,"10,71,570",614.0
10,Jharkhand,1039,16,655,0,1710,,22.0,16811,"64,86,937",1874.0
11,Assam,1607,117,151,0,1875,20.0,19.0,64766,"46,77,053",827.0
12,Chandigarh,1526,0,974,0,2500,70.0,4.0,2812,"7,46,881",154.0
13,Bihar,2830,70,271,0,3171,37.0,26.0,83335,"1,04,07,078",5255.0
14,Odisha,3232,37,594,0,3863,18.0,26.0,23371,"98,45,073",4454.0
16,Chhattisgarh,3073,164,997,0,4234,25.0,51.0,20966,"68,36,200",3573.0
17,Madhya Pradesh,3785,114,2562,0,6461,235.0,167.0,,,6306.0
18,Punjab,2966,5,3567,0,6538,,41.0,14804,"1,24,63,019",2977.0
19,Telangana,3502,2,5530,0,9034,138.0,112.0,,,6316.0
20,Andhra Pradesh,5812,0,3680,0,9492,266.0,65.0,,,6393.0
21,Kerala,5471,1,5729,1,11202,211.0,39.0,30775,"1,57,74,078",4851.0
22,Karnataka,5140,2,8242,2,13386,172.0,100.0,"1,20,532","2,68,70,303",33483.0
23,West Bengal,12297,3,1840,0,14140,141.0,71.0,48767,"1,41,34,171",1347.0
24,Rajasthan,11564,83,4116,0,15763,205.0,174.0,81338,"1,73,27,388",14326.0
25,Tamil Nadu,9614,0,7132,0,16746,281.0,76.0,82051,"2,98,42,376",24632.0
26,Delhi,6664,1,12695,21,19381,72.0,66.0,"1,56,393","76,85,600",12850.0
27,Haryana,18574,137,4878,0,23589,50.0,114.0,37035,"1,07,78,270",4667.0
28,Uttar Pradesh,20508,256,5445,0,26209,207.0,128.0,"3,37,180","4,00,92,490",11853.0
29,Gujarat,15875,4,15388,0,31267,278.0,87.0,45272,"2,06,05,484",5839.0
30,Maharashtra,14873,9,19129,2,34013,317.0,,"1,16,646","3,10,58,990",20955.0
