Category,Segment,2013-14,2014-15
Passenger Vehicles (PVs),Passenger Cars,2519281.0,2590917.0
Passenger Vehicles (PVs),Multi-Utility Vehicles,568692.0,629255.0
Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),3087973.0,3220172.0
Commercial Vehicles - M & HCVs,Passenger Carriers,41175.0,49360.0
Commercial Vehicles - M & HCVs,Goods Carriers,180381.0,219193.0
Commercial Vehicles - M & HCVs,Total M & HCVs,221556.0,268553.0
Commercial Vehicles - LCVs,Passenger Carriers,45136.0,46569.0
Commercial Vehicles - LCVs,Goods Carriers,432343.0,381961.0
Commercial Vehicles - LCVs,Total LCVs,477479.0,428530.0
Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),699035.0,697083.0
Three Wheelers,Passenger Carriers,733244.0,845606.0
Three Wheelers,Goods Carriers,96864.0,103415.0
Three Wheelers,Total Three Wheelers,830108.0,949021.0
Two Wheelers,Scooter/Scooterettee,3676213.0,4721415.0
Two Wheelers,Motorcycles/Step-Throughs,12474626.0,13023210.0
Two Wheelers,Mopeds,732210.0,755345.0
Two Wheelers,Electric Two Wheelers,,
Two Wheelers,Total Two Wheelers,16883049.0,18499970.0
Grand Total,Grand Total,21500165.0,23366246.0
