,kms_travelled,rating,Visual Appeal,Performance,Comfort,Value for Money,Model Name
0,500.0,5.0,5.0,5.0,4.0,5.0,hyundai kona
1,0.0,0.0,1.0,1.0,1.0,1.0,hyundai kona
2,5000.0,5.0,4.0,5.0,5.0,4.0,hyundai kona
3,5000.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
4,0.0,3.0,4.0,5.0,4.0,2.0,hyundai kona
5,5000.0,5.0,5.0,5.0,3.0,4.0,hyundai kona
6,100.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
7,500.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
8,5000.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
9,100.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
10,0.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
11,500.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
12,5000.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
13,5000.0,4.0,4.0,5.0,4.0,4.0,hyundai kona
14,0.0,5.0,5.0,5.0,4.0,5.0,hyundai kona
15,0.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
16,0.0,5.0,4.0,4.0,5.0,3.0,hyundai kona
17,0.0,5.0,4.0,4.0,4.0,3.0,hyundai kona
18,5000.0,5.0,4.0,5.0,3.0,5.0,hyundai kona
19,0.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
20,100.0,3.0,4.0,2.0,3.0,2.0,hyundai kona
21,500.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
22,100.0,5.0,4.0,5.0,4.0,5.0,hyundai kona
23,100.0,5.0,5.0,5.0,5.0,4.0,hyundai kona
24,0.0,2.0,3.0,3.0,3.0,2.0,hyundai kona
25,500.0,5.0,5.0,5.0,4.0,4.0,hyundai kona
26,5000.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
27,0.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
28,500.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
29,0.0,3.0,5.0,4.0,5.0,3.0,hyundai kona
30,0.0,2.0,3.0,2.0,2.0,1.0,hyundai kona
31,500.0,4.0,4.0,4.0,4.0,2.0,hyundai kona
32,0.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
33,100.0,5.0,5.0,5.0,5.0,5.0,hyundai kona
34,5000.0,4.0,4.0,5.0,5.0,4.0,tata nexon ev
35,5000.0,5.0,5.0,3.0,4.0,4.0,tata nexon ev
36,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
37,100.0,5.0,4.0,3.0,4.0,4.0,tata nexon ev
38,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
39,100.0,4.0,4.0,4.0,4.0,4.0,tata nexon ev
40,100.0,0.0,5.0,5.0,5.0,5.0,tata nexon ev
41,500.0,5.0,5.0,4.0,4.0,5.0,tata nexon ev
42,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
43,0.0,4.0,4.0,4.0,4.0,4.0,tata nexon ev
44,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
45,500.0,0.0,1.0,1.0,1.0,1.0,tata nexon ev
46,100.0,5.0,5.0,5.0,4.0,5.0,tata nexon ev
47,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
48,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
49,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
50,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
51,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
52,5000.0,4.0,5.0,5.0,5.0,5.0,tata nexon ev
53,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
54,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
55,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
56,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
57,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
58,500.0,4.0,3.0,5.0,3.0,3.0,tata nexon ev
59,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
60,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
61,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
62,5000.0,3.0,4.0,4.0,3.0,2.0,tata nexon ev
63,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
64,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
65,100.0,0.0,4.0,4.0,4.0,2.0,tata nexon ev
66,5000.0,3.0,4.0,3.0,3.0,2.0,tata nexon ev
67,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
68,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
69,5000.0,4.0,4.0,4.0,4.0,5.0,tata nexon ev
70,100.0,5.0,4.0,5.0,5.0,5.0,tata nexon ev
71,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
72,500.0,5.0,4.0,5.0,5.0,4.0,tata nexon ev
73,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
74,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
75,100.0,5.0,0.0,0.0,0.0,0.0,tata nexon ev
76,5000.0,0.0,5.0,3.0,5.0,1.0,tata nexon ev
77,100.0,2.0,1.0,1.0,1.0,1.0,tata nexon ev
78,100.0,3.0,4.0,2.0,4.0,3.0,tata nexon ev
79,5000.0,5.0,4.0,5.0,5.0,5.0,tata nexon ev
80,100.0,4.0,4.0,4.0,5.0,5.0,tata nexon ev
81,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
82,0.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
83,0.0,5.0,5.0,5.0,5.0,4.0,tata nexon ev
84,100.0,5.0,4.0,5.0,4.0,3.0,tata nexon ev
85,100.0,4.0,5.0,5.0,5.0,4.0,tata nexon ev
86,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
87,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
88,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
89,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
90,150000.0,5.0,5.0,3.0,5.0,2.0,tata nexon ev
91,0.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
92,100.0,5.0,4.0,5.0,5.0,5.0,tata nexon ev
93,100.0,4.0,4.0,5.0,4.0,5.0,tata nexon ev
94,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
95,100.0,5.0,5.0,4.0,5.0,5.0,tata nexon ev
96,100.0,5.0,5.0,5.0,4.0,3.0,tata nexon ev
97,100.0,3.0,5.0,3.0,4.0,2.0,tata nexon ev
98,500.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
99,150000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
100,5000.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
101,0.0,4.0,4.0,5.0,4.0,2.0,tata nexon ev
102,0.0,5.0,4.0,4.0,4.0,5.0,tata nexon ev
103,500.0,5.0,3.0,5.0,4.0,3.0,tata nexon ev
104,5000.0,5.0,5.0,4.0,4.0,5.0,tata nexon ev
105,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
106,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
107,100.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
108,0.0,5.0,5.0,5.0,5.0,5.0,tata nexon ev
109,5000.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
110,5000.0,0.0,3.0,1.0,2.0,1.0,tata tigor ev
111,5000.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
112,0.0,0.0,2.0,1.0,2.0,1.0,tata tigor ev
113,500.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
114,0.0,0.0,1.0,1.0,1.0,1.0,tata tigor ev
115,5000.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
116,0.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
117,0.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
118,500.0,5.0,4.0,5.0,5.0,5.0,tata tigor ev
119,500.0,2.0,3.0,1.0,2.0,1.0,tata tigor ev
120,500.0,4.0,4.0,4.0,5.0,4.0,tata tigor ev
121,5000.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
122,500.0,0.0,3.0,3.0,4.0,3.0,tata tigor ev
123,100.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
124,100.0,4.0,5.0,4.0,4.0,3.0,tata tigor ev
125,100.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
126,100.0,5.0,5.0,5.0,5.0,5.0,tata tigor ev
127,0.0,5.0,4.0,4.0,4.0,5.0,tata tigor ev
128,500.0,5.0,5.0,5.0,5.0,2.0,tata tigor ev
