,id. Response ID,submitdate. Date submitted,Month Year[subm...Date submitted],Month[Month Yea...ate submitted]],Year[Month Year...ate submitted]],lastpage. Last page,Carmain,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,"FCV, BEV Dummy"
0,FCV_1_3,2017/06/02 11:30:57,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,0.0,0.0,0.0,275000.0,2.52,1.0,1.0,3.0,483.14,0.0,0.01,2.0,65.0,0.0,2,14622.0,0.0
1,FCV_1_4,2017/06/02 11:15:39,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,275000.0,2.76,1.0,1.0,4.0,568.09,1.0,10.69,3.0,65.0,0.0,3,9197.142857142857,0.0
2,FCV_1_2,2017/06/02 10:51:59,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,1.0,0.0,0.0,,,1.0,1.0,4.0,398.57,0.0,9.39,5.0,55.0,1.0,4,15360.0,0.0
3,FCV_1_5,,,,,,,,,,,,,,,,,,,,,,1,,
4,FCV_1_15,2017/06/02 19:35:59,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,0.0,0.0,125000.0,2.6,1.0,1.0,2.0,255.16,0.0,17.63,2.0,55.0,0.0,3,5082.35294117647,0.0
5,FCV_1_8,2017/06/06 12:11:14,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,175000.0,1.23,1.0,1.0,4.0,312.78,1.0,3.53,2.0,75.0,0.0,2,13025.454545454546,0.0
6,FCV_1_10,,,,,0.0,,,,,,,,,,,,,,,,,1,,
7,FCV_1_11,2017/06/02 15:57:08,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,500000.0,1.08,1.0,1.0,2.0,125.79,1.0,28.05,3.0,45.0,0.0,3,18000.0,0.0
8,FCV_1_14,2017/06/02 18:51:34,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,125000.0,2.44,1.0,1.0,3.0,118.02,0.0,13.35,4.0,45.0,0.0,2,13224.0,0.0
9,FCV_1_16,2017/06/03 11:05:57,06/2017,6.0,2017.0,42.0,2017 Honda Clarity,1.0,0.0,1.0,0.0,225000.0,1.44,1.0,1.0,3.0,111.87,1.0,34.77,4.0,45.0,0.0,3,16080.0,0.0
10,FCV_1_17,2017/06/02 22:14:38,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,125000.0,0.85,1.0,1.0,3.0,331.73,0.0,32.65,2.0,35.0,0.0,2,18600.0,0.0
11,FCV_1_18,2017/06/02 22:39:10,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,1.0,0.0,175000.0,2.65,1.0,0.0,4.0,,0.0,23.41,2.0,65.0,0.0,2,12040.0,0.0
12,FCV_1_19,2017/06/03 08:40:47,06/2017,6.0,2017.0,42.0,2017 Honda Clarity,0.0,1.0,0.0,0.0,175000.0,2.76,1.0,1.0,4.0,138.6,2.0,4.42,4.0,45.0,0.0,2,17000.0,0.0
13,FCV_1_20,2017/06/03 07:35:18,06/2017,6.0,2017.0,42.0,2016 Honda Clarity,,,,,,,,,,,,,,,,1,,0.0
14,FCV_1_21,,,,,20.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,,,,,,,,8.15,5.0,,,4,,0.0
15,FCV_1_22,2017/06/06 12:49:54,06/2017,6.0,2017.0,42.0,1915 Hyundai Tuscon,0.0,0.0,1.0,0.0,75000.0,2.6,1.0,1.0,4.0,,0.0,,3.0,75.0,0.0,4,14672.86956521739,0.0
16,FCV_1_23,2017/06/04 12:04:35,06/2017,6.0,2017.0,42.0,2016 Hyundai Tuscon FCV,0.0,0.0,1.0,0.0,75000.0,-1.74,1.0,1.0,3.0,104.29,1.0,10.86,1.0,65.0,0.0,1,6770.769230769231,0.0
17,FCV_1_24,2017/06/30 09:27:58,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,275000.0,-2.86,1.0,1.0,4.0,161.04,2.0,5.71,2.0,65.0,0.0,2,10200.0,0.0
18,FCV_1_25,2017/07/05 22:19:17,07/2017,7.0,2017.0,42.0,2016 Toyota Mirai,1.0,0.0,1.0,0.0,,1.58,1.0,1.0,4.0,545.88,0.0,20.63,3.0,55.0,0.0,4,7963.636363636364,0.0
19,FCV_1_26,,,,,30.0,2017 Honda Clarity,0.0,0.0,1.0,0.0,,,,,,494.27,0.0,,3.0,55.0,0.0,3,,0.0
20,FCV_1_27,2017/06/30 15:43:23,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,1.0,0.0,0.0,325000.0,1.56,1.0,1.0,4.0,1095.08,50.0,91.78,2.0,55.0,0.0,3,15000.0,0.0
21,FCV_1_28,2017/06/06 12:02:51,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,125000.0,,1.0,1.0,3.0,,0.0,5.9,2.0,35.0,1.0,2,7500.0,0.0
22,FCV_1_29,,,,,3.0,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
23,FCV_1_30,,,,,3.0,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
24,FCV_1_31,2017/06/06 12:02:04,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,,2.92,1.0,1.0,4.0,,0.0,27.0,2.0,65.0,0.0,2,8850.0,0.0
25,FCV_1_32,2017/06/06 13:29:41,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,125000.0,2.81,0.0,1.0,3.0,389.91,3.0,42.81,2.0,55.0,0.0,1,11142.857142857143,0.0
26,FCV_1_33,2017/06/06 11:41:00,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,75000.0,2.53,0.0,0.0,3.0,369.29,1.0,5.8,3.0,55.0,1.0,2,9600.0,0.0
27,FCV_1_34,2017/06/06 11:42:52,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,0.0,0.0,0.0,425000.0,-3.0,1.0,1.0,3.0,134.94,0.0,2.41,5.0,45.0,0.0,5,8492.307692307693,0.0
28,FCV_1_35,2017/06/07 13:28:29,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,0.0,0.0,125000.0,0.92,0.0,0.0,3.0,112.7,0.0,7.16,2.0,55.0,0.0,2,13246.0,0.0
29,FCV_1_36,2017/06/06 11:28:42,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
30,FCV_1_37,2017/06/06 11:50:02,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,125000.0,2.91,1.0,0.0,2.0,1008.22,0.0,25.86,2.0,55.0,1.0,3,13008.0,0.0
31,FCV_1_38,2017/06/06 11:53:25,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,175000.0,2.69,1.0,1.0,4.0,426.14,0.0,0.73,4.0,45.0,0.0,2,7285.714285714285,0.0
32,FCV_1_39,,,,,,,,,,,,,,,,,,,,,,1,,
33,FCV_1_40,2017/07/03 17:38:40,07/2017,7.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,475000.0,2.81,1.0,1.0,4.0,149.24,1.0,12.89,2.0,45.0,1.0,3,6720.0,0.0
34,FCV_1_41,2017/06/06 12:53:01,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,0.0,0.0,0.0,325000.0,2.81,1.0,0.0,4.0,362.67,1.0,20.37,3.0,45.0,1.0,2,15331.5,0.0
35,FCV_1_42,2017/06/06 12:36:59,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,500000.0,1.44,0.0,1.0,3.0,26.19,7.0,,2.0,65.0,0.0,1,10000.0,0.0
36,FCV_1_266,2017/06/21 13:17:57,06/2017,6.0,2017.0,42.0,2015 Hyundai Tucson fuel cell,1.0,0.0,0.0,0.0,500000.0,2.04,1.0,1.0,4.0,72.16,0.0,47.79,4.0,45.0,0.0,2,16000.0,0.0
37,FCV_1_44,2017/06/06 12:51:40,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,,2.72,1.0,1.0,3.0,325.92,0.0,,2.0,,,2,5220.0,0.0
38,FCV_1_45,,,,,19.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,,,,,,,,,3.0,,1.0,2,,0.0
39,FCV_1_46,2017/06/06 13:42:04,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,1.0,0.0,0.0,325000.0,2.68,1.0,1.0,4.0,,0.0,13.15,2.0,75.0,0.0,2,4920.0,0.0
40,FCV_1_47,2017/06/06 13:31:10,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,,2.78,1.0,1.0,4.0,377.5,0.0,24.36,2.0,65.0,0.0,4,10542.857142857143,0.0
41,FCV_1_48,2017/06/06 14:18:19,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,175000.0,,1.0,1.0,4.0,79.1,0.0,12.14,2.0,55.0,0.0,3,14000.0,0.0
42,FCV_1_49,2017/06/06 14:04:44,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,1.0,0.0,0.0,,2.32,1.0,1.0,4.0,138.73,1.0,,2.0,65.0,0.0,2,8160.0,0.0
43,FCV_1_50,2017/06/26 14:44:22,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,75000.0,,0.0,0.0,2.0,252.37,0.0,26.8,5.0,35.0,1.0,4,14400.0,0.0
44,FCV_1_51,2017/06/06 15:46:58,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,0.0,0.0,175000.0,0.89,1.0,1.0,4.0,335.71,15.0,113.32,1.0,65.0,1.0,2,11475.0,0.0
45,FCV_1_52,2017/06/06 15:59:22,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,0.0,0.0,175000.0,,0.0,1.0,4.0,339.38,3.0,12.7,3.0,45.0,1.0,2,5377.5,0.0
